--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,12,0,1,2,2,0,0,28,0,0,0,63,2,6,16,8,0,0,645,0,0,0,739
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Time,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,40,106
O,96,8,0,4,27,11,0,139,12,18,13,252,10,0,2,41,5,0,323,0,9,19,71215



--------------------------------------------------
Confusion matrix for Fold 4, Test File: p_80-ner-event-peranno_NL-HaNA_1.04.02_2693_0117-0119 - 1747 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
B-AgentPatient,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3
B-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Location,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2
B-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Target,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
I-Agent,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,1
I-AgentPatient,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
I-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,5
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
O,7,1,0,0,2,2,0,4,0,1,1,13,0,0,0,4,1,0,24,0,0,0,3359



--------------------------------------------------
Confusion matrix for Fold 5, Test File: events_p_80-ner-NL-HaNA_1.04.02_2665_0459-0460 - 1746 - no title
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,2,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
B-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
B-Source,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Target,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Agent,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,36,0,0,0,14
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
I-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,8,0,2,0,0,0,0,3,0,5,0,26,0,0,0,0,0,0,5,0,7,0,1005



--------------------------------------------------
Confusion matrix for Fold 6, Test File: events_p_80-ner-NL-HaNA_1.04.02_7673_0062-0064 - 1716 - no title
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18
B-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-Benefactive,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Instrument,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-Location,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
B-Path,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9
B-Source,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-Target,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,7
B-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Agent,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,17
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
I-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
I-Patient,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
I-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,3,0,0,0,0,0,0,12,2,5,1,0,0,0,0,0,0,0,7,0,9,3,6024



--------------------------------------------------
Confusion matrix for Fold 7, Test File: events_p_80-ner-NL-HaNA_1.04.02_1439_0695-0695 - 1686 - no title
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,11
B-AgentPatient,4,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
B-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
B-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
B-Path,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
B-Patient,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
B-Source,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
B-Target,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1
B-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Agent,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,2,0,0,0,15
I-AgentPatient,2,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,7,0,0,0,6
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,2,0,0,15,0,2,0,9
I-Source,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
I-Target,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1
I-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,9,0,0,0,1,4,0,9,0,1,13,9,3,2,0,2,1,0,7,0,0,30,5283



--------------------------------------------------
Confusion matrix for Fold 8, Test File: events_p_80-ner-NL-HaNA_1.04.02_1348_0784-0784 - 1679 - no title
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
B-AgentPatient,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B-Benefactive,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5
B-Source,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Target,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Agent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,12
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,11
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
I-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,7,0,0,0,0,0,0,8,0,1,2,4,0,1,0,0,0,0,8,0,0,4,3006



--------------------------------------------------
Confusion matrix for Fold 9, Test File: preannotated-NL-HaNA_1.04.02_1066_0269-0270 -1618 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,9,1,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9
B-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Benefactive,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B-Location,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
B-Path,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,4,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
B-Source,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
B-Target,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,1
B-Time,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3
I-Agent,0,1,0,0,0,0,0,2,0,0,0,12,3,1,0,3,0,0,4,1,0,0,29
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,10
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
I-Location,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,7
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
I-Patient,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,13,0,0,0,75
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1
I-Time,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
O,10,0,2,2,4,2,0,15,0,4,11,5,0,8,1,5,0,0,21,0,0,11,12628



--------------------------------------------------
Confusion matrix for Fold 10, Test File: preannotated-NL-HaNA_1.04.02_8596_0761-0766 - 1707 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,8,2,0,0,1,0,0,13,0,0,0,5,0,0,0,0,0,0,1,0,0,1,38
B-AgentPatient,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
B-Benefactive,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
B-Location,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10
B-Path,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Patient,6,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,40
B-Source,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,10
B-Target,0,0,0,0,1,4,0,2,0,20,0,0,0,0,0,0,1,0,0,0,3,0,4
B-Time,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,5,7
I-Agent,2,0,0,0,1,4,0,2,0,0,0,44,0,0,0,7,1,0,24,0,0,0,103
I-AgentPatient,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,3
I-Benefactive,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,6
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
